Alpha-2 code,English short name,Remark
AN,Netherlands Antilles,Reserved from 2010-12 to 2060-12.
BU,Burma,Reserved from 1989-12 to 2039-12.
CS,Serbia and Montenegro,Reserved from 2006-09 to 2056-09.
NT,Neutral Zone,Reserved from 1993-07 to 2043-07.
TP,East Timor,Reserved from 2002-05 to 2052-05.
YU,Yugoslavia,Reserved from 2003-07 to 2053-07.
ZR,Zaire,Reserved from 1997-07 to 2047-07.
